batch_id,time_of_batch,post_id,hours_since_created,sr,post_text,post_upvotes,number_comments,post_created_at,post_author_karma
260,2022-03-01 14:37:31,9388,15,4,How would the RSX get Delisted?,15,12,2022-02-28 23:21:42,6625
260,2022-03-01 14:37:31,14554,0,4,Investment options for children?,1,5,2022-03-01 14:18:19,30364
260,2022-03-01 14:37:31,7560,20,4,"My bank has screwed me over multiple times, looking for suggestions.",0,26,2022-02-28 18:15:25,7689
260,2022-03-01 14:37:31,13236,4,4,Ukraine supplies 70% of the world's neon. Chip makers are on edge.,692,73,2022-03-01 10:13:53,265073
260,2022-03-01 14:37:31,6544,23,4,"Does it make sense to invest in Ukrainian bonds right now, assuming one waits until maturity?",0,11,2022-02-28 15:24:40,149
260,2022-03-01 14:37:31,7706,20,4,Shell to exit joint ventures with Gazprom and pull out of Nord Stream 2,1230,193,2022-02-28 18:34:50,91832
260,2022-03-01 14:37:31,7876,19,4,EU ETF saving plan recommendations?,1,2,2022-02-28 19:19:51,122
260,2022-03-01 14:37:31,8064,19,4,trying to figure DODBX out,0,13,2022-02-28 19:04:13,24933
260,2022-03-01 14:37:31,7159,22,4,First cultivated meat company to go public,14,32,2022-02-28 15:47:09,68
260,2022-03-01 14:37:31,6222,24,4,TIL my long-term capital gains are taxed at 0%,2,20,2022-02-28 13:59:51,3478
