,param_C,param_penalty,param_solver,Score,Result,model_param,type,C
0,0.001,l1,liblinear,Accuracy,0.7694129055989656,l1 liblinear,train,0.001
1,0.001,l2,liblinear,Accuracy,0.782407343417342,l2 liblinear,train,0.001
2,0.01,l1,liblinear,Accuracy,0.7568694615050215,l1 liblinear,train,0.01
3,0.01,l2,liblinear,Accuracy,0.8098863041030843,l2 liblinear,train,0.01
4,0.1,l1,liblinear,Accuracy,0.800626887964955,l1 liblinear,train,0.1
5,0.1,l2,liblinear,Accuracy,0.8121242183407086,l2 liblinear,train,0.1
6,1,l1,liblinear,Accuracy,0.9089006052634512,l1 liblinear,train,1
7,1,l2,liblinear,Accuracy,0.8207910782160891,l2 liblinear,train,1
8,10,l1,liblinear,Accuracy,0.9983570942895679,l1 liblinear,train,10
9,10,l2,liblinear,Accuracy,0.8264610480086498,l2 liblinear,train,10
10,100,l1,liblinear,Accuracy,0.9994025392083644,l1 liblinear,train,100
11,100,l2,liblinear,Accuracy,0.8263116828107409,l2 liblinear,train,100
12,1000,l1,liblinear,Accuracy,0.9991038088125468,l1 liblinear,train,1000
13,1000,l2,liblinear,Accuracy,0.8336305775082764,l2 liblinear,train,1000
14,0.001,l2,lbfgs,Accuracy,0.7719555694269504,l2 lbfgs,train,0.001
15,0.01,l2,lbfgs,Accuracy,0.7649362968577575,l2 lbfgs,train,0.01
16,0.1,l2,lbfgs,Accuracy,0.7880765329439434,l2 lbfgs,train,0.1
17,1,l2,lbfgs,Accuracy,0.7755369901797956,l2 lbfgs,train,1
18,10,l2,lbfgs,Accuracy,0.7804660417107889,l2 lbfgs,train,10
19,100,l2,lbfgs,Accuracy,0.7783749289400645,l2 lbfgs,train,100
20,1000,l2,lbfgs,Accuracy,0.7837520760647844,l2 lbfgs,train,1000
21,0.001,l1,liblinear,Accuracy,0.7676307087317902,l1 liblinear,test,0.001
22,0.001,l2,liblinear,Accuracy,0.7777728125837877,l2 liblinear,test,0.001
23,0.01,l1,liblinear,Accuracy,0.7568683528465457,l1 liblinear,test,0.01
24,0.01,l2,liblinear,Accuracy,0.7891321833944052,l2 liblinear,test,0.01
25,0.1,l1,liblinear,Accuracy,0.7927196353561533,l1 liblinear,test,0.1
26,0.1,l2,liblinear,Accuracy,0.7849512914469569,l2 liblinear,test,0.1
27,1,l1,liblinear,Accuracy,0.7688283135222094,l1 liblinear,test,1
28,1,l2,liblinear,Accuracy,0.7747984627759407,l2 liblinear,test,1
29,10,l1,liblinear,Accuracy,0.7024953078916794,l1 liblinear,test,10
30,10,l2,liblinear,Accuracy,0.7789829296630619,l2 liblinear,test,10
31,100,l1,liblinear,Accuracy,0.7024970953615158,l1 liblinear,test,100
32,100,l2,liblinear,Accuracy,0.7777888998123157,l2 liblinear,test,100
33,1000,l1,liblinear,Accuracy,0.6983269282330861,l1 liblinear,test,1000
34,1000,l2,liblinear,Accuracy,0.7759978550361962,l2 liblinear,test,1000
35,0.001,l2,lbfgs,Accuracy,0.7670158191080525,l2 lbfgs,test,0.001
36,0.01,l2,lbfgs,Accuracy,0.759851640003575,l2 lbfgs,test,0.01
37,0.1,l2,lbfgs,Accuracy,0.7771883099472696,l2 lbfgs,test,0.1
38,1,l2,lbfgs,Accuracy,0.7682241487174902,l2 lbfgs,test,1
39,10,l2,lbfgs,Accuracy,0.7682241487174902,l2 lbfgs,test,10
40,100,l2,lbfgs,Accuracy,0.7706122084189829,l2 lbfgs,test,100
41,1000,l2,lbfgs,Accuracy,0.7777763875234605,l2 lbfgs,test,1000
42,0.001,l1,liblinear,F1,0.015938340066096603,l1 liblinear,train,0.001
43,0.001,l2,liblinear,F1,0.20738962955826884,l2 liblinear,train,0.001
44,0.01,l1,liblinear,F1,0.15337114292724335,l1 liblinear,train,0.01
45,0.01,l2,liblinear,F1,0.3719178817073293,l2 liblinear,train,0.01
46,0.1,l1,liblinear,F1,0.2760436230596351,l1 liblinear,train,0.1
47,0.1,l2,liblinear,F1,0.399129988059138,l2 liblinear,train,0.1
48,1,l1,liblinear,F1,0.7639073694958177,l1 liblinear,train,1
49,1,l2,liblinear,F1,0.45080131919169125,l2 liblinear,train,1
50,10,l1,liblinear,F1,0.9962451047365428,l1 liblinear,train,10
51,10,l2,liblinear,F1,0.4757736924074064,l2 liblinear,train,10
52,100,l1,liblinear,F1,0.9986371320467207,l1 liblinear,train,100
53,100,l2,liblinear,F1,0.47630021798746514,l2 liblinear,train,100
54,1000,l1,liblinear,F1,0.9979568619256576,l1 liblinear,train,1000
55,1000,l2,liblinear,F1,0.5118541474992744,l2 liblinear,train,1000
56,0.001,l2,lbfgs,F1,0.21494675284204176,l2 lbfgs,train,0.001
57,0.01,l2,lbfgs,F1,0.24823001055260047,l2 lbfgs,train,0.01
58,0.1,l2,lbfgs,F1,0.3422282087280242,l2 lbfgs,train,0.1
59,1,l2,lbfgs,F1,0.27813534102841925,l2 lbfgs,train,1
60,10,l2,lbfgs,F1,0.3097712686595874,l2 lbfgs,train,10
61,100,l2,lbfgs,F1,0.29771648745689555,l2 lbfgs,train,100
62,1000,l2,lbfgs,F1,0.31792865459263925,l2 lbfgs,train,1000
63,0.001,l1,liblinear,F1,0.0049382716049382715,l1 liblinear,test,0.001
64,0.001,l2,liblinear,F1,0.20509219142972665,l2 liblinear,test,0.001
65,0.01,l1,liblinear,F1,0.15220368458822106,l1 liblinear,test,0.01
66,0.01,l2,liblinear,F1,0.30582141806413654,l2 liblinear,test,0.01
67,0.1,l1,liblinear,F1,0.25689944319897184,l1 liblinear,test,0.1
68,0.1,l2,liblinear,F1,0.31072003284072247,l2 liblinear,test,0.1
69,1,l1,liblinear,F1,0.42016035162457993,l1 liblinear,test,1
70,1,l2,liblinear,F1,0.31976620668381905,l2 liblinear,test,1
71,10,l1,liblinear,F1,0.37281836101935034,l1 liblinear,test,10
72,10,l2,liblinear,F1,0.32873107758018244,l2 liblinear,test,10
73,100,l1,liblinear,F1,0.39075656933288544,l1 liblinear,test,100
74,100,l2,liblinear,F1,0.32531227416137903,l2 liblinear,test,100
75,1000,l1,liblinear,F1,0.3836388249510319,l1 liblinear,test,1000
76,1000,l2,liblinear,F1,0.34516339187103007,l2 liblinear,test,1000
77,0.001,l2,lbfgs,F1,0.18796508628534192,l2 lbfgs,test,0.001
78,0.01,l2,lbfgs,F1,0.22322752553047867,l2 lbfgs,test,0.01
79,0.1,l2,lbfgs,F1,0.3031485181485182,l2 lbfgs,test,0.1
80,1,l2,lbfgs,F1,0.24803357323080827,l2 lbfgs,test,1
81,10,l2,lbfgs,F1,0.26918757117855474,l2 lbfgs,test,10
82,100,l2,lbfgs,F1,0.2696441746579234,l2 lbfgs,test,100
83,1000,l2,lbfgs,F1,0.2936792188764539,l2 lbfgs,test,1000
