Result,model_param,Score,type,learning_rate,n_estimators,max_depth,max_features,subsample
0.904420095192447,0.025 / 200 / 3 / sqrt / 1.0,Accuracy,train,0.025,200,3,sqrt,1.0
0.9144251111878992,0.025 / 250 / 3 / sqrt / 0.5,Accuracy,train,0.025,250,3,sqrt,0.5
0.919204686054418,0.025 / 250 / 3 / sqrt / 0.75,Accuracy,train,0.025,250,3,sqrt,0.75
0.9233872459955637,0.025 / 250 / 3 / sqrt / 1.0,Accuracy,train,0.025,250,3,sqrt,1.0
0.9859617892613111,0.025 / 200 / 5 / sqrt / 0.75,Accuracy,train,0.025,200,5,sqrt,0.75
0.9889486473532264,0.025 / 200 / 5 / sqrt / 1.0,Accuracy,train,0.025,200,5,sqrt,1.0
0.9892472662824785,0.025 / 250 / 5 / sqrt / 0.5,Accuracy,train,0.025,250,5,sqrt,0.5
0.9053159519802035,0.05 / 150 / 3 / log2 / 0.5,Accuracy,train,0.05,150,3,log2,0.5
0.9133810038678899,0.05 / 150 / 3 / log2 / 0.75,Accuracy,train,0.05,150,3,log2,0.75
0.9187563675275602,0.05 / 175 / 3 / log2 / 0.5,Accuracy,train,0.05,175,3,log2,0.5
0.9281659291295575,0.05 / 175 / 3 / log2 / 0.75,Accuracy,train,0.05,175,3,log2,0.75
0.9339896113160858,0.05 / 200 / 3 / log2 / 0.5,Accuracy,train,0.05,200,3,log2,0.5
0.9425027587974986,0.05 / 200 / 3 / log2 / 0.75,Accuracy,train,0.05,200,3,log2,0.75
0.9493725547022172,0.05 / 200 / 3 / log2 / 1.0,Accuracy,train,0.05,200,3,log2,1.0
0.9559438431442489,0.05 / 250 / 3 / log2 / 0.5,Accuracy,train,0.05,250,3,log2,0.5
0.9628136390489672,0.05 / 250 / 3 / log2 / 0.75,Accuracy,train,0.05,250,3,log2,0.75
0.9674439601841428,0.05 / 250 / 3 / log2 / 1.0,Accuracy,train,0.05,250,3,log2,1.0
0.8924724398916546,0.05 / 100 / 3 / sqrt / 0.5,Accuracy,train,0.05,100,3,sqrt,0.5
0.8971023151605676,0.05 / 100 / 3 / sqrt / 0.75,Accuracy,train,0.05,100,3,sqrt,0.75
0.9020304749590361,0.05 / 100 / 3 / sqrt / 1.0,Accuracy,train,0.05,100,3,sqrt,1.0
0.9103939228428434,0.05 / 125 / 3 / sqrt / 0.5,Accuracy,train,0.05,125,3,sqrt,0.5
0.9172639416806929,0.05 / 125 / 3 / sqrt / 0.75,Accuracy,train,0.05,125,3,sqrt,0.75
0.9239841494543711,0.05 / 125 / 3 / sqrt / 1.0,Accuracy,train,0.05,125,3,sqrt,1.0
0.9263736582212166,0.05 / 150 / 3 / sqrt / 0.5,Accuracy,train,0.05,150,3,sqrt,0.5
0.9335425189214496,0.05 / 150 / 3 / sqrt / 0.75,Accuracy,train,0.05,150,3,sqrt,0.75
0.9381720597906658,0.05 / 150 / 3 / sqrt / 1.0,Accuracy,train,0.05,150,3,sqrt,1.0
0.9404112001605117,0.05 / 175 / 3 / sqrt / 0.5,Accuracy,train,0.05,175,3,sqrt,0.5
0.9462365543455242,0.05 / 175 / 3 / sqrt / 0.75,Accuracy,train,0.05,175,3,sqrt,0.75
0.9507167300168314,0.05 / 175 / 3 / sqrt / 1.0,Accuracy,train,0.05,175,3,sqrt,1.0
0.9546000022293313,0.05 / 200 / 3 / sqrt / 0.5,Accuracy,train,0.05,200,3,sqrt,0.5
0.9563919387379756,0.05 / 200 / 3 / sqrt / 0.75,Accuracy,train,0.05,200,3,sqrt,0.75
0.959528384960931,0.05 / 200 / 3 / sqrt / 1.0,Accuracy,train,0.05,200,3,sqrt,1.0
0.9720724978542685,0.05 / 250 / 3 / sqrt / 0.5,Accuracy,train,0.05,250,3,sqrt,0.5
0.9749107710142342,0.05 / 250 / 3 / sqrt / 0.75,Accuracy,train,0.05,250,3,sqrt,0.75
0.9746117062187197,0.05 / 250 / 3 / sqrt / 1.0,Accuracy,train,0.05,250,3,sqrt,1.0
0.9767024845897472,0.05 / 100 / 5 / sqrt / 0.5,Accuracy,train,0.05,100,5,sqrt,0.5
0.9861113773923511,0.05 / 100 / 5 / sqrt / 0.75,Accuracy,train,0.05,100,5,sqrt,0.75
0.9895458852117308,0.05 / 100 / 5 / sqrt / 1.0,Accuracy,train,0.05,100,5,sqrt,1.0
0.9867082808511588,0.05 / 125 / 5 / sqrt / 0.5,Accuracy,train,0.05,125,5,sqrt,0.5
0.9066615763601706,0.075 / 100 / 3 / log2 / 0.5,Accuracy,train,0.075,100,3,log2,0.5
0.9130832766711624,0.075 / 100 / 3 / log2 / 0.75,Accuracy,train,0.075,100,3,log2,0.75
0.9251791825042079,0.075 / 125 / 3 / log2 / 0.5,Accuracy,train,0.075,125,3,log2,0.5
0.9332433426593694,0.075 / 125 / 3 / log2 / 0.75,Accuracy,train,0.075,125,3,log2,0.75
0.9411583605497531,0.075 / 150 / 3 / log2 / 0.5,Accuracy,train,0.075,150,3,log2,0.5
0.9493724432356515,0.075 / 150 / 3 / log2 / 0.75,Accuracy,train,0.075,150,3,log2,0.75
0.9574376065899035,0.075 / 150 / 3 / log2 / 1.0,Accuracy,train,0.075,150,3,log2,1.0
0.956988061930824,0.075 / 175 / 3 / log2 / 0.5,Accuracy,train,0.075,175,3,log2,0.5
0.9640083376991072,0.075 / 175 / 3 / log2 / 0.75,Accuracy,train,0.075,175,3,log2,0.75
0.9704304838763613,0.075 / 175 / 3 / log2 / 1.0,Accuracy,train,0.075,175,3,log2,1.0
0.9681893371083342,0.075 / 200 / 3 / log2 / 0.5,Accuracy,train,0.075,200,3,log2,0.5
0.9726702930456008,0.075 / 200 / 3 / log2 / 0.75,Accuracy,train,0.075,200,3,log2,0.75
0.9777484868413719,0.075 / 200 / 3 / log2 / 1.0,Accuracy,train,0.075,200,3,log2,1.0
0.9820787399819423,0.075 / 250 / 3 / log2 / 0.5,Accuracy,train,0.075,250,3,log2,0.5
0.9856630588654932,0.075 / 250 / 3 / log2 / 0.75,Accuracy,train,0.075,250,3,log2,0.75
0.9873059645759253,0.075 / 250 / 3 / log2 / 1.0,Accuracy,train,0.075,250,3,log2,1.0
0.8987447750047373,0.075 / 75 / 3 / sqrt / 0.5,Accuracy,train,0.075,75,3,sqrt,0.5
0.9065104276972121,0.075 / 75 / 3 / sqrt / 0.75,Accuracy,train,0.075,75,3,sqrt,0.75
0.9114390333619431,0.075 / 75 / 3 / sqrt / 1.0,Accuracy,train,0.075,75,3,sqrt,1.0
0.9271199268779331,0.075 / 100 / 3 / sqrt / 0.5,Accuracy,train,0.075,100,3,sqrt,0.5
0.9313021524193819,0.075 / 100 / 3 / sqrt / 0.75,Accuracy,train,0.075,100,3,sqrt,0.75
0.935931470355467,0.075 / 100 / 3 / sqrt / 1.0,Accuracy,train,0.075,100,3,sqrt,1.0
0.9460865203482216,0.075 / 125 / 3 / sqrt / 0.5,Accuracy,train,0.075,125,3,sqrt,0.5
0.9531060158505456,0.075 / 125 / 3 / sqrt / 0.75,Accuracy,train,0.075,125,3,sqrt,0.75
0.955347051152007,0.075 / 125 / 3 / sqrt / 1.0,Accuracy,train,0.075,125,3,sqrt,1.0
0.9575858571221563,0.075 / 150 / 3 / sqrt / 0.5,Accuracy,train,0.075,150,3,sqrt,0.5
0.965651020476408,0.075 / 150 / 3 / sqrt / 0.75,Accuracy,train,0.075,150,3,sqrt,0.75
0.9678918328447382,0.075 / 150 / 3 / sqrt / 1.0,Accuracy,train,0.075,150,3,sqrt,1.0
0.9702801154793621,0.075 / 175 / 3 / sqrt / 0.5,Accuracy,train,0.075,175,3,sqrt,0.5
0.9784949784312195,0.075 / 175 / 3 / sqrt / 0.75,Accuracy,train,0.075,175,3,sqrt,0.75
0.9762551692619799,0.075 / 175 / 3 / sqrt / 1.0,Accuracy,train,0.075,175,3,sqrt,1.0
0.9810328491968834,0.075 / 200 / 3 / sqrt / 0.5,Accuracy,train,0.075,200,3,sqrt,0.5
0.9849161214093833,0.075 / 200 / 3 / sqrt / 0.75,Accuracy,train,0.075,200,3,sqrt,0.75
0.982676758106406,0.075 / 200 / 3 / sqrt / 1.0,Accuracy,train,0.075,200,3,sqrt,1.0
0.9704299265435333,0.075 / 75 / 5 / log2 / 0.5,Accuracy,train,0.075,75,5,log2,0.5
0.9862604081905634,0.075 / 100 / 5 / log2 / 0.5,Accuracy,train,0.075,100,5,log2,0.5
0.9692357852262214,0.075 / 50 / 5 / sqrt / 0.75,Accuracy,train,0.075,50,5,sqrt,0.75
0.9780468828374929,0.075 / 50 / 5 / sqrt / 1.0,Accuracy,train,0.075,50,5,sqrt,1.0
0.9811833290604483,0.075 / 75 / 5 / sqrt / 0.5,Accuracy,train,0.075,75,5,sqrt,0.5
0.9895462196114275,0.075 / 75 / 5 / sqrt / 0.75,Accuracy,train,0.075,75,5,sqrt,0.75
