,param_learning_rate,param_n_estimators,param_min_samples_split,param_min_samples_leaf,Score,Result,model_param,type,Learning Rate
0,0.01,100,0.1,0.1,Accuracy,0.7807646606400411,100 0.1 0.1,train,0.01
1,0.01,100,0.5,0.1,Accuracy,0.7807646606400411,100 0.5 0.1,train,0.01
2,0.01,100,0.1,0.5,Accuracy,0.7807646606400411,100 0.1 0.5,train,0.01
3,0.01,100,0.5,0.5,Accuracy,0.7807646606400411,100 0.5 0.5,train,0.01
4,0.1,100,0.1,0.1,Accuracy,0.9450411868959906,100 0.1 0.1,train,0.1
5,0.1,100,0.5,0.1,Accuracy,0.9080053058085227,100 0.5 0.1,train,0.1
6,0.1,100,0.1,0.5,Accuracy,0.782854212878847,100 0.1 0.5,train,0.1
7,0.1,100,0.5,0.5,Accuracy,0.782854212878847,100 0.5 0.5,train,0.1
8,0.01,100,0.1,0.1,Accuracy,0.7807650370899991,100 0.1 0.1,test,0.01
9,0.01,100,0.5,0.1,Accuracy,0.7807650370899991,100 0.5 0.1,test,0.01
10,0.01,100,0.1,0.5,Accuracy,0.7807650370899991,100 0.1 0.5,test,0.01
11,0.01,100,0.5,0.5,Accuracy,0.7807650370899991,100 0.5 0.5,test,0.01
12,0.1,100,0.1,0.1,Accuracy,0.7909268031101975,100 0.1 0.1,test,0.1
13,0.1,100,0.5,0.1,Accuracy,0.7950987577084637,100 0.5 0.1,test,0.1
14,0.1,100,0.1,0.5,Accuracy,0.7813638394852087,100 0.1 0.5,test,0.1
15,0.1,100,0.5,0.5,Accuracy,0.7813638394852087,100 0.5 0.5,test,0.1
16,0.01,100,0.1,0.1,F1,0.0,100 0.1 0.1,train,0.01
17,0.01,100,0.5,0.1,F1,0.0,100 0.5 0.1,train,0.01
18,0.01,100,0.1,0.5,F1,0.0,100 0.1 0.5,train,0.01
19,0.01,100,0.5,0.5,F1,0.0,100 0.5 0.5,train,0.01
20,0.1,100,0.1,0.1,F1,0.857724934884779,100 0.1 0.1,train,0.1
21,0.1,100,0.5,0.1,F1,0.7397206543726264,100 0.5 0.1,train,0.1
22,0.1,100,0.1,0.5,F1,0.02389937106918239,100 0.1 0.5,train,0.1
23,0.1,100,0.5,0.5,F1,0.02389937106918239,100 0.5 0.5,train,0.1
24,0.01,100,0.1,0.1,F1,0.0,100 0.1 0.1,test,0.01
25,0.01,100,0.5,0.1,F1,0.0,100 0.5 0.1,test,0.01
26,0.01,100,0.1,0.5,F1,0.0,100 0.1 0.5,test,0.01
27,0.01,100,0.5,0.5,F1,0.0,100 0.5 0.5,test,0.01
28,0.1,100,0.1,0.1,F1,0.3414097532706408,100 0.1 0.1,test,0.1
29,0.1,100,0.5,0.1,F1,0.33978754954440615,100 0.5 0.1,test,0.1
30,0.1,100,0.1,0.5,F1,0.015384615384615382,100 0.1 0.5,test,0.1
31,0.1,100,0.5,0.5,F1,0.015384615384615382,100 0.5 0.5,test,0.1
