,param_learning_rate,param_n_estimators,Score,Result,model_param,type,learning_rate
0,0.01,50,Accuracy,0.7807646606400411,50,train,0.01
1,0.01,75,Accuracy,0.7847972980504497,75,train,0.01
2,0.01,100,Accuracy,0.8019718435455285,100,train,0.01
3,0.01,125,Accuracy,0.8201917224928383,125,train,0.01
4,0.01,150,Accuracy,0.8372158995909176,150,train,0.01
5,0.03,50,Accuracy,0.8400536154180553,50,train,0.03
6,0.03,75,Accuracy,0.8727587974986903,75,train,0.03
7,0.03,100,Accuracy,0.8923234090934425,100,train,0.03
8,0.03,125,Accuracy,0.9081534448742101,125,train,0.03
9,0.03,150,Accuracy,0.9214450525564857,150,train,0.03
10,0.06,50,Accuracy,0.8938169496059658,50,train,0.06
11,0.06,75,Accuracy,0.9217440058854347,75,train,0.06
12,0.06,100,Accuracy,0.9387692976491702,100,train,0.06
13,0.06,125,Accuracy,0.9551971286212699,125,train,0.06
14,0.06,150,Accuracy,0.965501989678196,150,train,0.06
15,0.09,50,Accuracy,0.9211466565603648,50,train,0.09
16,0.09,75,Accuracy,0.9459371551503126,75,train,0.09
17,0.09,100,Accuracy,0.9665472116638615,100,train,0.09
18,0.09,125,Accuracy,0.9813319139923979,125,train,0.09
19,0.09,150,Accuracy,0.9896952504096396,150,train,0.09
20,0.12,50,Accuracy,0.9417558213413887,50,train,0.12
21,0.12,75,Accuracy,0.9690856397623533,75,train,0.12
22,0.12,100,Accuracy,0.9849160099428176,100,train,0.12
23,0.12,125,Accuracy,0.9940262838161693,125,train,0.12
24,0.12,150,Accuracy,0.9970132533746503,150,train,0.12
25,0.2,50,Accuracy,0.9765523391258792,50,train,0.2
26,0.2,75,Accuracy,0.9953699017979558,75,train,0.2
27,0.2,100,Accuracy,0.9985064594874766,100,train,0.2
28,0.2,125,Accuracy,0.9994026506749301,125,train,0.2
29,0.2,150,Accuracy,0.9994026506749301,150,train,0.2
30,0.01,50,Accuracy,0.7807650370899991,50,test,0.01
31,0.01,75,Accuracy,0.7813620520153723,75,test,0.01
32,0.01,100,Accuracy,0.7843507015819108,100,test,0.01
33,0.01,125,Accuracy,0.7855447314326571,125,test,0.01
34,0.01,150,Accuracy,0.7891268209848958,150,test,0.01
35,0.03,50,Accuracy,0.7885315935293592,50,test,0.03
36,0.03,75,Accuracy,0.7903208508356421,75,test,0.03
37,0.03,100,Accuracy,0.7921118956117617,100,test,0.03
38,0.03,125,Accuracy,0.7903172758959693,125,test,0.03
39,0.03,150,Accuracy,0.7933005630529985,150,test,0.03
40,0.06,50,Accuracy,0.7933077129323443,50,test,0.06
41,0.06,75,Accuracy,0.7885262311198498,75,test,0.06
42,0.06,100,Accuracy,0.7897220484404326,100,test,0.06
43,0.06,125,Accuracy,0.7945017427830906,125,test,0.06
44,0.06,150,Accuracy,0.7909178657610153,150,test,0.06
45,0.09,50,Accuracy,0.7921047457324157,50,test,0.09
46,0.09,75,Accuracy,0.7915023683975333,75,test,0.09
47,0.09,100,Accuracy,0.7938957905085351,100,test,0.09
48,0.09,125,Accuracy,0.7903172758959693,125,test,0.09
49,0.09,150,Accuracy,0.7909142908213425,150,test,0.09
50,0.12,50,Accuracy,0.7921172580212708,50,test,0.12
51,0.12,75,Accuracy,0.7897184735007597,75,test,0.12
52,0.12,100,Accuracy,0.7950916078291179,100,test,0.12
53,0.12,125,Accuracy,0.7927035481276253,125,test,0.12
54,0.12,150,Accuracy,0.7903172758959692,150,test,0.12
55,0.2,50,Accuracy,0.7861310215390116,50,test,0.2
56,0.2,75,Accuracy,0.7849352042184288,75,test,0.2
57,0.2,100,Accuracy,0.782554294396282,100,test,0.2
58,0.2,125,Accuracy,0.781957279470909,125,test,0.2
59,0.2,150,Accuracy,0.7825578693359551,150,test,0.2
60,0.01,50,F1,0.0,50,train,0.01
61,0.01,75,F1,0.035914161423457984,75,train,0.01
62,0.01,100,F1,0.17513631148230563,100,train,0.01
63,0.01,125,F1,0.30431968817843774,125,train,0.01
64,0.01,150,F1,0.4091754601272017,150,train,0.01
65,0.03,50,F1,0.42550338027985085,50,train,0.03
66,0.03,75,F1,0.5907975323762266,75,train,0.03
67,0.03,100,F1,0.6741190260556186,100,train,0.03
68,0.03,125,F1,0.7346241598232442,125,train,0.03
69,0.03,150,F1,0.781443421132,150,train,0.03
70,0.06,50,F1,0.6804628109887974,50,train,0.06
71,0.06,75,F1,0.7827116810492358,75,train,0.06
72,0.06,100,F1,0.8375340163114344,100,train,0.06
73,0.06,125,F1,0.8859959653145975,125,train,0.06
74,0.06,150,F1,0.9145163627510454,150,train,0.06
75,0.09,50,F1,0.7809957256536603,50,train,0.09
76,0.09,75,F1,0.8593610470591442,75,train,0.09
77,0.09,100,F1,0.9173399230861067,100,train,0.09
78,0.09,125,F1,0.9555132838716048,125,train,0.09
79,0.09,150,F1,0.9759007954746559,150,train,0.09
80,0.12,50,F1,0.8470894541350885,50,train,0.12
81,0.12,75,F1,0.924056616841287,75,train,0.12
82,0.12,100,F1,0.9643454720877868,100,train,0.12
83,0.12,125,F1,0.9861781491108687,125,train,0.12
84,0.12,150,F1,0.9931412781399326,150,train,0.12
85,0.2,50,F1,0.9434063664130067,50,train,0.2
86,0.2,75,F1,0.9893011883585903,75,train,0.2
87,0.2,100,F1,0.9965776459955183,100,train,0.2
88,0.2,125,F1,0.9986348102989089,125,train,0.2
89,0.2,150,F1,0.9986348102989089,150,train,0.2
90,0.01,50,F1,0.0,50,test,0.01
91,0.01,75,F1,0.005333333333333333,75,test,0.01
92,0.01,100,F1,0.042456140350877185,100,test,0.01
93,0.01,125,F1,0.06686861935984742,125,test,0.01
94,0.01,150,F1,0.12258554489127996,150,test,0.01
95,0.03,50,F1,0.13433996310281943,50,test,0.03
96,0.03,75,F1,0.20618377461187104,75,test,0.03
97,0.03,100,F1,0.22887722805264038,100,test,0.03
98,0.03,125,F1,0.26075874412908606,125,test,0.03
99,0.03,150,F1,0.28387353466238324,150,test,0.03
100,0.06,50,F1,0.2488132449779111,50,test,0.06
101,0.06,75,F1,0.2789146020150043,75,test,0.06
102,0.06,100,F1,0.29506484383250375,100,test,0.06
103,0.06,125,F1,0.3243937512111763,125,test,0.06
104,0.06,150,F1,0.312014237265889,150,test,0.06
105,0.09,50,F1,0.2883723622700096,50,test,0.09
106,0.09,75,F1,0.30022476523552577,75,test,0.09
107,0.09,100,F1,0.3134225193646673,100,test,0.09
108,0.09,125,F1,0.31350186854140416,125,test,0.09
109,0.09,150,F1,0.31710115757742474,150,test,0.09
110,0.12,50,F1,0.3384859286973224,50,test,0.12
111,0.12,75,F1,0.34883800903663403,75,test,0.12
112,0.12,100,F1,0.3597715330534078,100,test,0.12
113,0.12,125,F1,0.35778639240878685,125,test,0.12
114,0.12,150,F1,0.35341094613061635,150,test,0.12
115,0.2,50,F1,0.33477492834944395,50,test,0.2
116,0.2,75,F1,0.34129111328379536,75,test,0.2
117,0.2,100,F1,0.343490890542076,100,test,0.2
118,0.2,125,F1,0.33844803251268707,125,test,0.2
119,0.2,150,F1,0.3387525720253848,150,test,0.2
