,param_C,param_penalty,param_solver,Score,Result,model_param,type,C
0,0.001,l1,liblinear,Accuracy,0.7694129055989656,liblinear l1,train,0.001
1,0.001,l2,liblinear,Accuracy,0.782407343417342,liblinear l2,train,0.001
2,0.001,l2,lbfgs,Accuracy,0.7706112826457705,lbfgs l2,train,0.001
3,0.01,l1,liblinear,Accuracy,0.7568694615050215,liblinear l1,train,0.01
4,0.01,l2,liblinear,Accuracy,0.8098863041030843,liblinear l2,train,0.01
5,0.01,l2,lbfgs,Accuracy,0.764338836066122,lbfgs l2,train,0.01
6,0.1,l1,liblinear,Accuracy,0.800626887964955,liblinear l1,train,0.1
7,0.1,l2,liblinear,Accuracy,0.8121242183407086,liblinear l2,train,0.1
8,0.1,l2,lbfgs,Accuracy,0.7755371016463612,lbfgs l2,train,0.1
9,1,l1,liblinear,Accuracy,0.9089006052634512,liblinear l1,train,1
10,1,l2,liblinear,Accuracy,0.8207910782160891,liblinear l2,train,1
11,1,l2,lbfgs,Accuracy,0.7744914337944333,lbfgs l2,train,1
12,10,l1,liblinear,Accuracy,0.9983570942895679,liblinear l1,train,10
13,10,l2,liblinear,Accuracy,0.8264610480086498,liblinear l2,train,10
14,10,l2,lbfgs,Accuracy,0.7755369901797956,lbfgs l2,train,10
15,100,l1,liblinear,Accuracy,0.9994025392083644,liblinear l1,train,100
16,100,l2,liblinear,Accuracy,0.8263116828107409,liblinear l2,train,100
17,100,l2,lbfgs,Accuracy,0.7759850857735222,lbfgs l2,train,100
18,1000,l1,liblinear,Accuracy,0.9991038088125468,liblinear l1,train,1000
19,1000,l2,liblinear,Accuracy,0.8336305775082764,liblinear l2,train,1000
20,1000,l2,lbfgs,Accuracy,0.7756863553777044,lbfgs l2,train,1000
21,0.001,l1,liblinear,Accuracy,0.7676307087317902,liblinear l1,test,0.001
22,0.001,l2,liblinear,Accuracy,0.7777728125837877,liblinear l2,test,0.001
23,0.001,l2,lbfgs,Accuracy,0.7658217892573063,lbfgs l2,test,0.001
24,0.01,l1,liblinear,Accuracy,0.7568683528465457,liblinear l1,test,0.01
25,0.01,l2,liblinear,Accuracy,0.7891321833944052,liblinear l2,test,0.01
26,0.01,l2,lbfgs,Accuracy,0.7568665653767093,lbfgs l2,test,0.01
27,0.1,l1,liblinear,Accuracy,0.7927196353561533,liblinear l1,test,0.1
28,0.1,l2,liblinear,Accuracy,0.7849512914469569,liblinear l2,test,0.1
29,0.1,l2,lbfgs,Accuracy,0.7712074358745197,lbfgs l2,test,0.1
30,1,l1,liblinear,Accuracy,0.7688283135222094,liblinear l1,test,1
31,1,l2,liblinear,Accuracy,0.7747984627759407,liblinear l2,test,1
32,1,l2,lbfgs,Accuracy,0.7682241487174902,lbfgs l2,test,1
33,10,l1,liblinear,Accuracy,0.7024953078916794,liblinear l1,test,10
34,10,l2,liblinear,Accuracy,0.7789829296630619,liblinear l2,test,10
35,10,l2,lbfgs,Accuracy,0.7682241487174902,lbfgs l2,test,10
36,100,l1,liblinear,Accuracy,0.7024970953615158,liblinear l1,test,100
37,100,l2,liblinear,Accuracy,0.7777888998123157,liblinear l2,test,100
38,100,l2,lbfgs,Accuracy,0.7688211636428635,lbfgs l2,test,100
39,1000,l1,liblinear,Accuracy,0.6983269282330861,liblinear l1,test,1000
40,1000,l2,liblinear,Accuracy,0.7759978550361962,liblinear l2,test,1000
41,1000,l2,lbfgs,Accuracy,0.7682241487174902,lbfgs l2,test,1000
42,0.001,l1,liblinear,F1,0.015938340066096603,liblinear l1,train,0.001
