,param_C,param_gamma,param_kernel,Score,Result,model_param,type,C
0,0.001,scale,linear,Accuracy,0.6035076298864156,linear scale,train,0.001
1,0.001,scale,rbf,Accuracy,0.7807646606400411,rbf scale,train,0.001
2,0.001,scale,poly,Accuracy,0.7815113751630199,poly scale,train,0.001
3,0.001,scale,sigmoid,Accuracy,0.7807646606400411,sigmoid scale,train,0.001
4,0.001,auto,linear,Accuracy,0.6035076298864156,linear auto,train,0.001
5,0.001,auto,rbf,Accuracy,0.7807646606400411,rbf auto,train,0.001
6,0.001,auto,poly,Accuracy,0.3324540479083299,poly auto,train,0.001
7,0.001,auto,sigmoid,Accuracy,0.7807646606400411,sigmoid auto,train,0.001
8,0.01,scale,linear,Accuracy,0.6823958623610847,linear scale,train,0.01
9,0.01,scale,rbf,Accuracy,0.7807646606400411,rbf scale,train,0.01
10,0.01,scale,poly,Accuracy,0.5578457971531439,poly scale,train,0.01
11,0.01,scale,sigmoid,Accuracy,0.7807646606400411,sigmoid scale,train,0.01
12,0.01,auto,linear,Accuracy,0.6823958623610847,linear auto,train,0.01
13,0.01,auto,rbf,Accuracy,0.7807646606400411,rbf auto,train,0.01
14,0.01,auto,poly,Accuracy,0.4431335480922497,poly auto,train,0.01
15,0.01,auto,sigmoid,Accuracy,0.7712065141060939,sigmoid auto,train,0.01
16,0.1,scale,linear,Accuracy,0.4867364818922564,linear scale,train,0.1
17,0.1,scale,rbf,Accuracy,0.7807646606400411,rbf scale,train,0.1
18,0.1,scale,poly,Accuracy,0.5557546843824195,poly scale,train,0.1
19,0.1,scale,sigmoid,Accuracy,0.7806154069086978,sigmoid scale,train,0.1
20,0.1,auto,linear,Accuracy,0.4867364818922564,linear auto,train,0.1
21,0.1,auto,rbf,Accuracy,0.7807646606400411,rbf auto,train,0.1
22,0.1,auto,poly,Accuracy,0.4443282467423897,poly auto,train,0.1
23,0.1,auto,sigmoid,Accuracy,0.7087814475048209,sigmoid auto,train,0.1
24,1,scale,linear,Accuracy,0.4867364818922564,linear scale,train,1
25,1,scale,rbf,Accuracy,0.7904719494387659,rbf scale,train,1
26,1,scale,poly,Accuracy,0.22028056134562438,poly scale,train,1
27,1,scale,sigmoid,Accuracy,0.72028067281219,sigmoid scale,train,1
28,1,auto,linear,Accuracy,0.4867364818922564,linear auto,train,1
29,1,auto,rbf,Accuracy,0.9896952504096396,rbf auto,train,1
30,1,auto,poly,Accuracy,0.44477656526924747,poly auto,train,1
