Result,model_param,Score,type,C,gamma,kernel
0.7849532710280374,0.03125 / 0.001953125,Accuracy,train,0.03125,0.001953125,rbf
0.7692523364485981,0.03125 / 0.00390625,Accuracy,train,0.03125,0.00390625,rbf
0.7439252336448599,0.03125 / 0.0078125,Accuracy,train,0.03125,0.0078125,rbf
0.6893457943925234,0.03125 / 0.015625,Accuracy,train,0.03125,0.015625,rbf
0.5713084112149532,0.03125 / 0.03125,Accuracy,train,0.03125,0.03125,rbf
0.7971028037383178,0.0625 / 0.0009765625,Accuracy,train,0.0625,0.0009765625,rbf
0.7639252336448598,0.0625 / 0.001953125,Accuracy,train,0.0625,0.001953125,rbf
0.7441121495327103,0.0625 / 0.00390625,Accuracy,train,0.0625,0.00390625,rbf
0.7409345794392524,0.0625 / 0.0078125,Accuracy,train,0.0625,0.0078125,rbf
0.7303738317757009,0.0625 / 0.015625,Accuracy,train,0.0625,0.015625,rbf
0.5385981308411215,0.0625 / 0.03125,Accuracy,train,0.0625,0.03125,rbf
0.7961682242990655,0.125 / 0.00048828125,Accuracy,train,0.125,0.00048828125,rbf
0.7619626168224299,0.125 / 0.0009765625,Accuracy,train,0.125,0.0009765625,rbf
0.7449532710280373,0.125 / 0.001953125,Accuracy,train,0.125,0.001953125,rbf
0.7467289719626169,0.125 / 0.00390625,Accuracy,train,0.125,0.00390625,rbf
0.7530841121495327,0.125 / 0.0078125,Accuracy,train,0.125,0.0078125,rbf
0.7626168224299066,0.125 / 0.015625,Accuracy,train,0.125,0.015625,rbf
0.6970093457943924,0.125 / 0.03125,Accuracy,train,0.125,0.03125,rbf
0.26794392523364485,0.125 / 0.0625,Accuracy,train,0.125,0.0625,rbf
0.7986915887850468,0.25 / 0.000244140625,Accuracy,train,0.25,0.000244140625,rbf
0.7598130841121495,0.25 / 0.00048828125,Accuracy,train,0.25,0.00048828125,rbf
0.7460747663551401,0.25 / 0.0009765625,Accuracy,train,0.25,0.0009765625,rbf
0.7479439252336448,0.25 / 0.001953125,Accuracy,train,0.25,0.001953125,rbf
0.7571028037383177,0.25 / 0.00390625,Accuracy,train,0.25,0.00390625,rbf
0.7701869158878505,0.25 / 0.0078125,Accuracy,train,0.25,0.0078125,rbf
0.7979439252336448,0.25 / 0.015625,Accuracy,train,0.25,0.015625,rbf
0.8273831775700936,0.25 / 0.03125,Accuracy,train,0.25,0.03125,rbf
0.5827102803738318,0.25 / 0.0625,Accuracy,train,0.25,0.0625,rbf
0.21757009345794392,0.25 / 0.125,Accuracy,train,0.25,0.125,rbf
0.5292523364485981,0.25 / 0.25,Accuracy,train,0.25,0.25,rbf
0.7984112149532712,0.5 / 0.0001220703125,Accuracy,train,0.5,0.0001220703125,rbf
0.7579439252336448,0.5 / 0.000244140625,Accuracy,train,0.5,0.000244140625,rbf
0.7453271028037383,0.5 / 0.00048828125,Accuracy,train,0.5,0.00048828125,rbf
0.747663551401869,0.5 / 0.0009765625,Accuracy,train,0.5,0.0009765625,rbf
0.7554205607476636,0.5 / 0.001953125,Accuracy,train,0.5,0.001953125,rbf
0.7690654205607477,0.5 / 0.00390625,Accuracy,train,0.5,0.00390625,rbf
0.802429906542056,0.5 / 0.0078125,Accuracy,train,0.5,0.0078125,rbf
0.8538317757009345,0.5 / 0.015625,Accuracy,train,0.5,0.015625,rbf
0.9239252336448598,0.5 / 0.03125,Accuracy,train,0.5,0.03125,rbf
0.7980373831775701,1.0 / 6.103515625e-05,Accuracy,train,1.0,6.103515625e-05,rbf
0.7574766355140187,1.0 / 0.0001220703125,Accuracy,train,1.0,0.0001220703125,rbf
0.7452336448598131,1.0 / 0.000244140625,Accuracy,train,1.0,0.000244140625,rbf
0.7480373831775701,1.0 / 0.00048828125,Accuracy,train,1.0,0.00048828125,rbf
0.7534579439252337,1.0 / 0.0009765625,Accuracy,train,1.0,0.0009765625,rbf
0.7693457943925234,1.0 / 0.001953125,Accuracy,train,1.0,0.001953125,rbf
0.7957943925233645,1.0 / 0.00390625,Accuracy,train,1.0,0.00390625,rbf
0.8473831775700935,1.0 / 0.0078125,Accuracy,train,1.0,0.0078125,rbf
0.9325233644859814,1.0 / 0.015625,Accuracy,train,1.0,0.015625,rbf
0.9888785046728972,1.0 / 0.03125,Accuracy,train,1.0,0.03125,rbf
0.7978504672897196,2.0 / 3.0517578125e-05,Accuracy,train,2.0,3.0517578125e-05,rbf
0.7574766355140187,2.0 / 6.103515625e-05,Accuracy,train,2.0,6.103515625e-05,rbf
0.744766355140187,2.0 / 0.0001220703125,Accuracy,train,2.0,0.0001220703125,rbf
0.7477570093457945,2.0 / 0.000244140625,Accuracy,train,2.0,0.000244140625,rbf
0.752803738317757,2.0 / 0.00048828125,Accuracy,train,2.0,0.00048828125,rbf
0.7660747663551402,2.0 / 0.0009765625,Accuracy,train,2.0,0.0009765625,rbf
0.79,2.0 / 0.001953125,Accuracy,train,2.0,0.001953125,rbf
0.8349532710280375,2.0 / 0.00390625,Accuracy,train,2.0,0.00390625,rbf
0.9126168224299065,2.0 / 0.0078125,Accuracy,train,2.0,0.0078125,rbf
0.9881308411214953,2.0 / 0.015625,Accuracy,train,2.0,0.015625,rbf
0.7573831775700934,4.0 / 3.0517578125e-05,Accuracy,train,4.0,3.0517578125e-05,rbf
0.7445794392523364,4.0 / 6.103515625e-05,Accuracy,train,4.0,6.103515625e-05,rbf
0.7476635514018692,4.0 / 0.0001220703125,Accuracy,train,4.0,0.0001220703125,rbf
0.7525233644859812,4.0 / 0.000244140625,Accuracy,train,4.0,0.000244140625,rbf
0.7642056074766355,4.0 / 0.00048828125,Accuracy,train,4.0,0.00048828125,rbf
0.7851401869158879,4.0 / 0.0009765625,Accuracy,train,4.0,0.0009765625,rbf
0.8221495327102802,4.0 / 0.001953125,Accuracy,train,4.0,0.001953125,rbf
0.8835514018691588,4.0 / 0.00390625,Accuracy,train,4.0,0.00390625,rbf
0.9730841121495327,4.0 / 0.0078125,Accuracy,train,4.0,0.0078125,rbf
0.7446728971962616,8.0 / 3.0517578125e-05,Accuracy,train,8.0,3.0517578125e-05,rbf
0.7478504672897197,8.0 / 6.103515625e-05,Accuracy,train,8.0,6.103515625e-05,rbf
0.7524299065420561,8.0 / 0.0001220703125,Accuracy,train,8.0,0.0001220703125,rbf
0.7642056074766355,8.0 / 0.000244140625,Accuracy,train,8.0,0.000244140625,rbf
0.7814953271028038,8.0 / 0.00048828125,Accuracy,train,8.0,0.00048828125,rbf
0.811214953271028,8.0 / 0.0009765625,Accuracy,train,8.0,0.0009765625,rbf
0.8587850467289719,8.0 / 0.001953125,Accuracy,train,8.0,0.001953125,rbf
0.9399065420560747,8.0 / 0.00390625,Accuracy,train,8.0,0.00390625,rbf
0.7480373831775702,16.0 / 3.0517578125e-05,Accuracy,train,16.0,3.0517578125e-05,rbf
0.7528037383177569,16.0 / 6.103515625e-05,Accuracy,train,16.0,6.103515625e-05,rbf
0.7633644859813083,16.0 / 0.0001220703125,Accuracy,train,16.0,0.0001220703125,rbf
0.7784112149532709,16.0 / 0.000244140625,Accuracy,train,16.0,0.000244140625,rbf
0.804766355140187,16.0 / 0.00048828125,Accuracy,train,16.0,0.00048828125,rbf
0.8406542056074766,16.0 / 0.0009765625,Accuracy,train,16.0,0.0009765625,rbf
0.9042056074766354,16.0 / 0.001953125,Accuracy,train,16.0,0.001953125,rbf
0.9820560747663551,16.0 / 0.00390625,Accuracy,train,16.0,0.00390625,rbf
0.7528037383177569,32.0 / 3.0517578125e-05,Accuracy,train,32.0,3.0517578125e-05,rbf
0.7633644859813085,32.0 / 6.103515625e-05,Accuracy,train,32.0,6.103515625e-05,rbf
0.7779439252336449,32.0 / 0.0001220703125,Accuracy,train,32.0,0.0001220703125,rbf
0.8016822429906542,32.0 / 0.000244140625,Accuracy,train,32.0,0.000244140625,rbf
0.8301869158878505,32.0 / 0.00048828125,Accuracy,train,32.0,0.00048828125,rbf
