Result,model_param,Score,type,C,gamma,kernel
0.7974766355140187,0.03125 / 0.00390625,Accuracy,train,0.03125,0.00390625,sigmoid
0.7571028037383177,0.03125 / 0.0078125,Accuracy,train,0.03125,0.0078125,sigmoid
0.7411214953271028,0.03125 / 0.015625,Accuracy,train,0.03125,0.015625,sigmoid
0.7327102803738319,0.03125 / 0.03125,Accuracy,train,0.03125,0.03125,sigmoid
0.7252336448598131,0.03125 / 0.0625,Accuracy,train,0.03125,0.0625,sigmoid
0.706822429906542,0.03125 / 0.125,Accuracy,train,0.03125,0.125,sigmoid
0.6310280373831777,0.03125 / 0.25,Accuracy,train,0.03125,0.25,sigmoid
0.5951401869158878,0.03125 / 0.5,Accuracy,train,0.03125,0.5,sigmoid
0.5693457943925233,0.03125 / 1.0,Accuracy,train,0.03125,1.0,sigmoid
0.5828971962616822,0.03125 / 2.0,Accuracy,train,0.03125,2.0,sigmoid
0.5789719626168225,0.03125 / 4.0,Accuracy,train,0.03125,4.0,sigmoid
0.5752336448598131,0.03125 / 8.0,Accuracy,train,0.03125,8.0,sigmoid
0.7977570093457944,0.0625 / 0.001953125,Accuracy,train,0.0625,0.001953125,sigmoid
0.7574766355140187,0.0625 / 0.00390625,Accuracy,train,0.0625,0.00390625,sigmoid
0.7434579439252337,0.0625 / 0.0078125,Accuracy,train,0.0625,0.0078125,sigmoid
0.7402803738317757,0.0625 / 0.015625,Accuracy,train,0.0625,0.015625,sigmoid
0.7313084112149533,0.0625 / 0.03125,Accuracy,train,0.0625,0.03125,sigmoid
0.7079439252336448,0.0625 / 0.0625,Accuracy,train,0.0625,0.0625,sigmoid
0.6463551401869159,0.0625 / 0.125,Accuracy,train,0.0625,0.125,sigmoid
0.5721495327102804,0.0625 / 0.25,Accuracy,train,0.0625,0.25,sigmoid
0.5538317757009346,0.0625 / 0.5,Accuracy,train,0.0625,0.5,sigmoid
0.539252336448598,0.0625 / 1.0,Accuracy,train,0.0625,1.0,sigmoid
0.5398130841121496,0.0625 / 2.0,Accuracy,train,0.0625,2.0,sigmoid
0.5414018691588784,0.0625 / 4.0,Accuracy,train,0.0625,4.0,sigmoid
0.5400000000000001,0.0625 / 8.0,Accuracy,train,0.0625,8.0,sigmoid
