,target,increment,post_basic,post_temporal,comment_basic,post_sent,comment_sent,post_sBERT,comment_sBERT,Pipeline_train_acc,Pipeline_test_acc,Pipeline_train_f1,Pipeline_test_f1
0,popular_hr_3,0,True,True,True,True,True,True,True,,,,
1,popular_hr_3,0,True,True,True,True,False,True,False,,,,
2,popular_hr_3,0,True,True,True,True,True,False,False,,,,
3,popular_hr_3,0,True,True,True,False,False,False,False,,,,
4,popular_hr_3,3,True,True,True,True,True,True,True,,,,
5,popular_hr_3,3,True,True,True,True,False,True,False,,,,
6,popular_hr_3,3,True,True,True,True,True,False,False,,,,
7,popular_hr_3,3,True,True,True,False,False,False,False,,,,
8,popular_hr_3,6,True,True,True,True,True,True,True,,,,
9,popular_hr_3,6,True,True,True,True,False,True,False,,,,
10,popular_hr_3,6,True,True,True,True,True,False,False,,,,
11,popular_hr_3,6,True,True,True,False,False,False,False,,,,
12,popular_hr_6,0,True,True,True,True,True,True,True,,,,
13,popular_hr_6,0,True,True,True,True,False,True,False,,,,
14,popular_hr_6,0,True,True,True,True,True,False,False,,,,
15,popular_hr_6,0,True,True,True,False,False,False,False,,,,
16,popular_hr_6,3,True,True,True,True,True,True,True,,,,
17,popular_hr_6,3,True,True,True,True,False,True,False,,,,
18,popular_hr_6,3,True,True,True,True,True,False,False,,,,
19,popular_hr_6,3,True,True,True,False,False,False,False,,,,
20,popular_hr_6,6,True,True,True,True,True,True,True,,,,
21,popular_hr_6,6,True,True,True,True,False,True,False,,,,
22,popular_hr_6,6,True,True,True,True,True,False,False,,,,
23,popular_hr_6,6,True,True,True,False,False,False,False,,,,
24,popular_hr_24,0,True,True,True,True,True,True,True,,,,
25,popular_hr_24,0,True,True,True,True,False,True,False,,,,
26,popular_hr_24,0,True,True,True,True,True,False,False,,,,
27,popular_hr_24,0,True,True,True,False,False,False,False,,,,
28,popular_hr_24,3,True,True,True,True,True,True,True,,,,
29,popular_hr_24,3,True,True,True,True,False,True,False,,,,
30,popular_hr_24,3,True,True,True,True,True,False,False,,,,
31,popular_hr_24,3,True,True,True,False,False,False,False,,,,
32,popular_hr_24,6,True,True,True,True,True,True,True,,,,
33,popular_hr_24,6,True,True,True,True,False,True,False,,,,
34,popular_hr_24,6,True,True,True,True,True,False,False,,,,
35,popular_hr_24,6,True,True,True,False,False,False,False,,,,
