,target,increment,post_basic,post_temporal,comment_basic,post_sent,comment_sent,post_sBERT,comment_sBERT,DummyClassifier_train_acc,DummyClassifier_test_acc,DummyClassifier_train_f1,DummyClassifier_test_f1,LogisticRegression_train_acc,LogisticRegression_test_acc,LogisticRegression_train_f1,LogisticRegression_test_f1,KNeighborsClassifier_train_acc,KNeighborsClassifier_test_acc,KNeighborsClassifier_train_f1,KNeighborsClassifier_test_f1,SVC_train_acc,SVC_test_acc,SVC_train_f1,SVC_test_f1,DecisionTreeClassifier_train_acc,DecisionTreeClassifier_test_acc,DecisionTreeClassifier_train_f1,DecisionTreeClassifier_test_f1,RandomForestClassifier_train_acc,RandomForestClassifier_test_acc,RandomForestClassifier_train_f1,RandomForestClassifier_test_f1,AdaBoostClassifier_train_acc,AdaBoostClassifier_test_acc,AdaBoostClassifier_train_f1,AdaBoostClassifier_test_f1,GradientBoostingClassifier_train_acc,GradientBoostingClassifier_test_acc,GradientBoostingClassifier_train_f1,GradientBoostingClassifier_test_f1,GaussianNB_train_acc,GaussianNB_test_acc,GaussianNB_train_f1,GaussianNB_test_f1
0,popular_hr_3,0,True,True,True,True,True,True,True,0.779,0.779,0.0,0.0,0.801,0.795,0.309,0.293,0.829,0.779,0.496,0.322,0.779,0.779,0.0,0.0,1.0,0.734,1.0,0.394,1.0,0.787,1.0,0.314,0.828,0.772,0.485,0.31,0.9,0.775,0.716,0.352,,,,
1,popular_hr_3,0,True,True,True,True,False,True,False,0.779,0.779,0.0,0.0,0.801,0.795,0.309,0.293,0.829,0.779,0.496,0.322,0.779,0.779,0.0,0.0,1.0,0.734,1.0,0.394,1.0,0.787,1.0,0.314,0.828,0.772,0.485,0.31,0.9,0.775,0.716,0.352,,,,
2,popular_hr_3,0,True,True,True,True,True,False,False,0.779,0.779,0.0,0.0,0.801,0.795,0.309,0.293,0.829,0.779,0.496,0.322,0.779,0.779,0.0,0.0,1.0,0.734,1.0,0.394,1.0,0.787,1.0,0.314,0.828,0.772,0.485,0.31,0.9,0.775,0.716,0.352,,,,
3,popular_hr_3,0,True,True,True,False,False,False,False,0.779,0.779,0.0,0.0,0.801,0.795,0.309,0.293,0.829,0.779,0.496,0.322,0.779,0.779,0.0,0.0,1.0,0.734,1.0,0.394,1.0,0.787,1.0,0.314,0.828,0.772,0.485,0.31,0.9,0.775,0.716,0.352,,,,
4,popular_hr_3,3,True,True,True,True,True,True,True,0.811,0.811,0.0,0.0,0.899,0.898,0.67,0.665,0.958,0.939,0.882,0.829,0.859,0.858,0.419,0.413,1.0,0.913,1.0,0.769,1.0,0.952,1.0,0.864,0.904,0.9,0.714,0.698,0.93,0.916,0.793,0.752,,,,
5,popular_hr_3,3,True,True,True,True,False,True,False,0.811,0.811,0.0,0.0,0.899,0.898,0.67,0.665,0.958,0.939,0.882,0.829,0.859,0.858,0.419,0.413,1.0,0.913,1.0,0.769,1.0,0.952,1.0,0.864,0.904,0.9,0.714,0.698,0.93,0.916,0.793,0.752,,,,
6,popular_hr_3,3,True,True,True,True,True,False,False,0.811,0.811,0.0,0.0,0.899,0.898,0.67,0.665,0.958,0.939,0.882,0.829,0.859,0.858,0.419,0.413,1.0,0.913,1.0,0.769,1.0,0.952,1.0,0.864,0.904,0.9,0.714,0.698,0.93,0.916,0.793,0.752,,,,
7,popular_hr_3,3,True,True,True,False,False,False,False,0.811,0.811,0.0,0.0,0.899,0.898,0.67,0.665,0.958,0.939,0.882,0.829,0.859,0.858,0.419,0.413,1.0,0.913,1.0,0.769,1.0,0.952,1.0,0.864,0.904,0.9,0.714,0.698,0.93,0.916,0.793,0.752,,,,
8,popular_hr_3,6,True,True,True,True,True,True,True,0.806,0.806,0.0,0.0,0.881,0.876,0.6,0.587,0.922,0.874,0.769,0.602,0.828,0.827,0.211,0.203,1.0,0.864,1.0,0.652,1.0,0.915,1.0,0.753,0.89,0.88,0.672,0.64,0.923,0.894,0.771,0.686,,,,
9,popular_hr_3,6,True,True,True,True,False,True,False,0.806,0.806,0.0,0.0,0.881,0.876,0.6,0.587,0.922,0.874,0.769,0.602,0.828,0.827,0.211,0.203,1.0,0.864,1.0,0.652,1.0,0.915,1.0,0.753,0.89,0.88,0.672,0.64,0.923,0.894,0.771,0.686,,,,
10,popular_hr_3,6,True,True,True,True,True,False,False,0.806,0.806,0.0,0.0,0.881,0.876,0.6,0.587,0.922,0.874,0.769,0.602,0.828,0.827,0.211,0.203,1.0,0.864,1.0,0.652,1.0,0.915,1.0,0.753,0.89,0.88,0.672,0.64,0.923,0.894,0.771,0.686,,,,
11,popular_hr_3,6,True,True,True,False,False,False,False,0.806,0.806,0.0,0.0,0.881,0.876,0.6,0.587,0.922,0.874,0.769,0.602,0.828,0.827,0.211,0.203,1.0,0.864,1.0,0.652,1.0,0.915,1.0,0.753,0.89,0.88,0.672,0.64,0.923,0.894,0.771,0.686,,,,
