,target,increment,post_basic,post_temporal,comment_basic,post_sent,comment_sent,post_sBERT,comment_sBERT,DummyClassifier,DummyClassifier_f1,DummyClassifier_precision,DummyClassifier_recall,DummyClassifier_roc_auc,LogisticRegression,LogisticRegression_f1,LogisticRegression_precision,LogisticRegression_recall,LogisticRegression_roc_auc,KNeighborsClassifier,KNeighborsClassifier_f1,KNeighborsClassifier_precision,KNeighborsClassifier_recall,KNeighborsClassifier_roc_auc,SVC,SVC_f1,SVC_precision,SVC_recall,SVC_roc_auc,DecisionTreeClassifier,DecisionTreeClassifier_f1,DecisionTreeClassifier_precision,DecisionTreeClassifier_recall,DecisionTreeClassifier_roc_auc,RandomForestClassifier,RandomForestClassifier_f1,RandomForestClassifier_precision,RandomForestClassifier_recall,RandomForestClassifier_roc_auc,AdaBoostClassifier,AdaBoostClassifier_f1,AdaBoostClassifier_precision,AdaBoostClassifier_recall,AdaBoostClassifier_roc_auc,GradientBoostingClassifier,GradientBoostingClassifier_f1,GradientBoostingClassifier_precision,GradientBoostingClassifier_recall,GradientBoostingClassifier_roc_auc,GaussianNB,GaussianNB_f1,GaussianNB_precision,GaussianNB_recall,GaussianNB_roc_auc
0,popular_hr_3,0,True,True,True,True,True,True,True,0.749,0.0,0.0,0.0,0.5,0.698,0.349,0.38,0.322,0.573,0.715,0.264,0.375,0.203,0.545,0.749,0.0,0.0,0.0,0.5,0.715,0.385,0.42,0.356,0.596,0.757,0.095,0.75,0.051,0.523,0.749,0.379,0.5,0.305,0.601,0.779,0.366,0.652,0.254,0.604,0.685,0.513,0.419,0.661,0.677
1,popular_hr_3,0,True,True,True,True,False,True,False,0.749,0.0,0.0,0.0,0.5,0.728,0.396,0.447,0.356,0.604,0.706,0.317,0.381,0.271,0.562,0.749,0.0,0.0,0.0,0.5,0.694,0.357,0.377,0.339,0.576,0.757,0.066,1.0,0.034,0.517,0.766,0.409,0.559,0.322,0.618,0.74,0.282,0.462,0.203,0.562,0.651,0.453,0.374,0.576,0.626
2,popular_hr_3,0,True,True,True,True,True,False,False,0.749,0.0,0.0,0.0,0.5,0.766,0.286,0.611,0.186,0.573,0.74,0.396,0.476,0.339,0.607,0.749,0.0,0.0,0.0,0.5,0.732,0.452,0.464,0.441,0.635,0.787,0.375,0.714,0.254,0.61,0.753,0.341,0.517,0.254,0.587,0.753,0.326,0.519,0.237,0.582,0.609,0.361,0.306,0.441,0.553
3,popular_hr_3,0,True,True,True,False,False,False,False,0.749,0.0,0.0,0.0,0.5,0.77,0.289,0.647,0.186,0.576,0.732,0.323,0.441,0.254,0.573,0.749,0.0,0.0,0.0,0.5,0.711,0.424,0.424,0.424,0.615,0.791,0.364,0.778,0.237,0.607,0.783,0.414,0.643,0.305,0.624,0.787,0.432,0.655,0.322,0.633,0.609,0.361,0.306,0.441,0.553
4,popular_hr_3,3,True,True,True,True,True,True,True,0.811,0.0,0.0,0.0,0.5,0.956,0.877,0.929,0.831,0.908,0.963,0.9,0.918,0.882,0.932,0.811,0.0,0.0,0.0,0.5,0.929,0.812,0.815,0.81,0.883,0.963,0.896,0.952,0.846,0.918,0.93,0.806,0.842,0.773,0.87,0.958,0.88,0.948,0.822,0.906,0.74,0.556,0.41,0.864,0.788
5,popular_hr_3,3,True,True,True,True,False,True,False,0.811,0.0,0.0,0.0,0.5,0.944,0.838,0.924,0.767,0.876,0.967,0.91,0.931,0.891,0.938,0.811,0.0,0.0,0.0,0.5,0.941,0.844,0.837,0.852,0.907,0.968,0.912,0.951,0.876,0.933,0.929,0.802,0.843,0.764,0.866,0.952,0.862,0.946,0.792,0.89,0.815,0.62,0.507,0.798,0.808
6,popular_hr_3,3,True,True,True,True,True,False,False,0.811,0.0,0.0,0.0,0.5,0.895,0.654,0.866,0.526,0.753,0.948,0.858,0.89,0.828,0.902,0.859,0.413,0.967,0.263,0.63,0.916,0.78,0.767,0.795,0.869,0.949,0.855,0.929,0.792,0.889,0.893,0.687,0.771,0.619,0.788,0.913,0.741,0.851,0.656,0.814,0.877,0.643,0.713,0.586,0.766
7,popular_hr_3,3,True,True,True,False,False,False,False,0.811,0.0,0.0,0.0,0.5,0.896,0.655,0.87,0.526,0.754,0.942,0.838,0.883,0.798,0.886,0.86,0.421,0.967,0.269,0.633,0.91,0.768,0.751,0.785,0.863,0.945,0.843,0.918,0.779,0.882,0.898,0.696,0.795,0.619,0.791,0.91,0.732,0.834,0.653,0.811,0.877,0.641,0.712,0.583,0.764
8,popular_hr_3,6,True,True,True,True,True,True,True,0.814,0.0,0.0,0.0,0.5,0.934,0.81,0.879,0.752,0.864,0.941,0.836,0.869,0.806,0.889,0.814,0.0,0.0,0.0,0.5,0.885,0.715,0.663,0.776,0.843,0.947,0.838,0.968,0.739,0.867,0.923,0.793,0.798,0.788,0.871,0.937,0.822,0.866,0.782,0.877,0.779,0.585,0.45,0.836,0.801
9,popular_hr_3,6,True,True,True,True,False,True,False,0.814,0.0,0.0,0.0,0.5,0.931,0.797,0.882,0.727,0.853,0.914,0.778,0.751,0.806,0.872,0.814,0.0,0.0,0.0,0.5,0.912,0.769,0.751,0.788,0.864,0.965,0.9,0.965,0.842,0.918,0.94,0.832,0.873,0.794,0.884,0.941,0.831,0.895,0.776,0.877,0.808,0.581,0.49,0.715,0.772
